..........................] - ETA: 6:01 - loss: 2.4862
 6704/58608 [==>...........................] - ETA: 5:50 - loss: 2.4939
 6720/58608 [==>...........................] - ETA: 5:50 - loss: 2.4936
 6736/58608 [==>...........................] - ETA: 5:50 - loss: 2.4930
 6752/58608 [==>...........................] - ETA: 5:50 - loss: 2.4918
 6768/58608 [==>...........................] - ETA: 5:50 - loss: 2.4920
 6784/58608 [==>...........................] - ETA: 5:50 - loss: 2.4914
 6800/58608 [==>...........................] - ETA: 5:50 - loss: 2.4929
 6816/58608 [==>...........................] - ETA: 5:50 - loss: 2.4945
 6832/58608 [==>...........................] - ETA: 5:50 - loss: 2.4930
 6848/58608 [==>...........................] - ETA: 5:50 - loss: 2.4931
 6864/58608 [==>...........................] - ETA: 5:49 - loss: 2.4931
 6880/58608 [==>...........................] - ETA: 5:49 - loss: 2.4931
 6896/58608 [==>...........................] - ETA: 5:49 - loss: 2.4943
 6912/58608 [==>...........................] - ETA: 5:49 - loss: 2.4951
 6928/58608 [==>...........................] - ETA: 5:49 - loss: 2.4944
 6944/58608 [==>...........................] - ETA: 5:49 - loss: 2.4959
 6960/58608 [==>...........................] - ETA: 5:49 - loss: 2.4958
 6976/58608 [==>...........................] - ETA: 5:49 - loss: 2.4959
 6992/58608 [==>...........................] - ETA: 5:49 - loss: 2.4966
 7008/58608 [==>...........................] - ETA: 5:48 - loss: 2.4960
 7024/58608 [==>...........................] - ETA: 5:48 - loss: 2.4956
 7040/58608 [==>...........................] - ETA: 5:48 - loss: 2.4953
 7056/58608 [==>...........................] - ETA: 5:48 - loss: 2.4943
 7072/58608 [==>...........................] - ETA: 5:48 - loss: 2.4935
 7088/58608 [==>...........................] - ETA: 5:48 - loss: 2.4936
 7104/58608 [==>...........................] - ETA: 5:48 - loss: 2.4936
 7120/58608 [==>...........................] - ETA: 5:48 - loss: 2.4937
 7136/58608 [==>...........................] - ETA: 5:48 - loss: 2.4936
 7152/58608 [==>...........................] - ETA: 5:48 - loss: 2.4940
 7168/58608 [==>...........................] - ETA: 5:47 - loss: 2.4950
 7184/58608 [==>...........................] - ETA: 5:47 - loss: 2.4947
 7200/58608 [==>...........................] - ETA: 5:47 - loss: 2.4940
 7216/58608 [==>...........................] - ETA: 5:47 - loss: 2.4949
 7232/58608 [==>...........................] - ETA: 5:47 - loss: 2.4947
 7248/58608 [==>...........................] - ETA: 5:47 - loss: 2.4942
 7264/58608 [==>...........................] - ETA: 5:47 - loss: 2.4951
 7280/58608 [==>...........................] - ETA: 5:47 - loss: 2.4941
 7296/58608 [==>...........................] - ETA: 5:47 - loss: 2.4951
 7312/58608 [==>...........................] - ETA: 5:46 - loss: 2.4954
 7328/58608 [==>...........................] - ETA: 5:46 - loss: 2.4948
 7344/58608 [==>...........................] - ETA: 5:46 - loss: 2.4950
 7360/58608 [==>...........................] - ETA: 5:46 - loss: 2.4949
 7376/58608 [==>...........................] - ETA: 5:46 - loss: 2.4961
 7392/58608 [==>...........................] - ETA: 5:46 - loss: 2.4951
 7408/58608 [==>...........................] - ETA: 5:46 - loss: 2.4955
 7424/58608 [==>...........................] - ETA: 5:46 - loss: 2.4956
 7440/58608 [==>...........................] - ETA: 5:46 - loss: 2.4960
 7456/58608 [==>...........................] - ETA: 5:45 - loss: 2.4972
 7472/58608 [==>...........................] - ETA: 5:45 - loss: 2.4956
 7488/58608 [==>...........................] - ETA: 5:45 - loss: 2.4956
 7504/58608 [==>...........................] - ETA: 5:45 - loss: 2.4957
 7520/58608 [==>...........................] - ETA: 5:45 - loss: 2.4960
 7536/58608 [==>...........................] - ETA: 5:45 - loss: 2.4970
 7552/58608 [==>...........................] - ETA: 5:45 - loss: 2.4973
 7568/58608 [==>...........................] - ETA: 5:45 - loss: 2.4979
 7584/58608 [==>...........................] - ETA: 5:45 - loss: 2.4965
 7600/58608 [==>...........................] - ETA: 5:44 - loss: 2.4976
 7616/58608 [==>...........................] - ETA: 5:44 - loss: 2.4970
 7632/58608 [==>...........................] - ETA: 5:44 - loss: 2.4977
 7648/58608 [==>...........................] - ETA: 5:44 - loss: 2.4983
 7664/58608 [==>...........................] - ETA: 5:44 - loss: 2.4984
 7680/58608 [==>...........................] - ETA: 5:44 - loss: 2.4989
 7696/58608 [==>...........................] - ETA: 5:44 - loss: 2.4992
 7712/58608 [==>...........................] - ETA: 5:44 - loss: 2.4990
 7728/58608 [==>...........................] - ETA: 5:44 - loss: 2.4985
 7744/58608 [==>...........................] - ETA: 5:43 - loss: 2.4986
 7760/58608 [==>...........................] - ETA: 5:43 - loss: 2.4974
 7776/58608 [==>...........................] - ETA: 5:43 - loss: 2.4972
 7792/58608 [==>...........................] - ETA: 5:43 - loss: 2.4984
 7808/58608 [==>...........................] - ETA: 5:43 - loss: 2.4984
 7824/58608 [===>..........................] - ETA: 5:43 - loss: 2.4986
 7840/58608 [===>..........................] - ETA: 5:43 - loss: 2.4989
 7856/58608 [===>..........................] - ETA: 5:43 - loss: 2.4979
 7872/58608 [===>..........................] - ETA: 5:43 - loss: 2.4982
 7888/58608 [===>..........................] - ETA: 5:42 - loss: 2.4975
 7904/58608 [===>..........................] - ETA: 5:42 - loss: 2.4970
 7920/58608 [===>..........................] - ETA: 5:42 - loss: 2.4973
 7936/58608 [===>..........................] - ETA: 5:42 - loss: 2.4976
 7952/58608 [===>..........................] - ETA: 5:42 - loss: 2.4968
 7968/58608 [===>..........................] - ETA: 5:42 - loss: 2.4977
 7984/58608 [===>..........................] - ETA: 5:42 - loss: 2.4968
 8000/58608 [===>..........................] - ETA: 5:42 - loss: 2.4983
